
"CountryName","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Belarus","BLR","Population, female","SP.POP.TOTL.FE.IN","4491893","4523844","4560138","4599233","4639591","4679665","4720561","4763309","4806181","4847413","4885284","4920806","4955051","4986491","5013630","5034965","5053431","5076217","5104507","5131463","5158781","5190869","5222861","5255522","5287895","5318644","5350246","5381279","5391599","5403330","5410634","5412234","5424337","5437767","5432387","5414946","5395716","5370807","5343153","5319622","5295397","5271220","5242444","5211727","5182423","5152853","5126551","5107758","5094092","5085742","5078980","5070291","5065091","5064597","5067708","5074666","5080386","5083504","",
"Belize","BLZ","Population, female","SP.POP.TOTL.FE.IN","46603","47906","49226","50596","52041","53549","55148","56808","58480","60061","61499","62789","63940","64977","65922","66797","67589","68326","69112","70119","71425","73080","75046","77243","79544","81845","84151","86488","88791","90964","92981","94766","96368","98038","100077","102721","106063","110007","114316","118663","122796","126635","130260","133752","137278","140948","144785","148735","152747","156766","160739","164662","168537","172392","176265","180182","184139","188134","",
"Bermuda","BMU","Population, female","SP.POP.TOTL.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population, female","SP.POP.TOTL.FE.IN","1863811","1898884","1934865","1971807","2009798","2048893","2089135","2130540","2173171","2217067","2262281","2308793","2356622","2405912","2456814","2509419","2563766","2619750","2677123","2735560","2794808","2854825","2915618","2977012","3038799","3100875","3163123","3225655","3288848","3353236","3419203","3486830","3556022","3626765","3699011","3772687","3847811","3924295","4001786","4079824","4158052","4236323","4314657","4393082","4471670","4550478","4629472","4708621","4787987","4867677","4947771","5028274","5109148","5190399","5272022","5353994","5436298","5518906","",
"Brazil","BRA","Population, female","SP.POP.TOTL.FE.IN","36255477","37321829","38427687","39564454","40719864","41884691","43056884","44238126","45427606","46625438","47832240","49046478","50269018","51506025","52765848","54054520","55372154","56716704","58088920","59489157","60916199","62370943","63849124","65337852","66820238","68283676","69723413","71140976","72537984","73918592","75286361","76638684","77974827","79302499","80632077","81970131","83319325","84674889","86026598","87360092","88664346","89936916","91178885","92387090","93558761","94692609","95785485","96838834","97861857","98867347","99864354","100856156","101839635","102809591","103757887","104678401","105569752","106433262","",
"Barbados","BRB","Population, female","SP.POP.TOTL.FE.IN","127478","127668","127670","127539","127339","127128","126927","126747","126613","126558","126597","126728","126957","127307","127793","128412","129188","130090","131027","131878","132545","133005","133270","133411","133517","133663","133864","134103","134384","134701","135055","135460","135921","136412","136934","137467","138021","138583","139142","139689","140210","140669","141108","141535","141989","142477","143023","143606","144221","144830","145422","145985","146537","147054","147559","148040","148498","148925","",
"Brunei Darussalam","BRN","Population, female","SP.POP.TOTL.FE.IN","39563","41433","43338","45306","47376","49594","51955","54448","57073","59852","62757","65827","69035","72271","75397","78328","81000","83468","85832","88245","90827","93604","96562","99647","102781","105930","109081","112255","115494","118834","122318","125910","129618","133470","137531","141824","146380","151130","155882","160398","164490","168102","171279","174060","176532","178759","180716","182435","184081","185887","187997","190489","193321","196369","199453","202444","205299","208064","",
"Bhutan","BTN","Population, female","SP.POP.TOTL.FE.IN","109475","112284","115175","118209","121504","125106","129061","133335","137835","142428","147017","151579","156136","160741","165480","170419","175581","180943","186444","192013","197586","203023","208322","213774","219760","226490","234294","242894","251168","257604","261196","261404","258831","254999","252091","251655","254245","259353","266215","273640","280702","287239","293500","299564","305603","311752","317962","324132","330225","336200","342029","347687","353194","358543","363791","368944","374015","378981","",
"Botswana","BWA","Population, female","SP.POP.TOTL.FE.IN","274486","281664","289173","297024","305233","313807","322793","332212","342108","352471","363337","374677","386534","399093","412591","427170","442899","459673","477258","495308","513569","531965","550498","569122","587803","606521","625176","643748","662344","681103","700141","719482","738990","758411","777421","795761","813411","830417","846649","861965","876336","889692","902190","914320","926701","939822","953831","968699","984471","1001136","1018676","1037138","1056500","1076545","1096973","1117556","1138206","1158897","",
"Central African Republic","CAF","Population, female","SP.POP.TOTL.FE.IN","764143","777307","791339","806212","821912","838397","855758","873949","892662","911448","930058","948386","966640","985303","1005053","1026370","1049272","1073684","1099980","1128579","1159688","1193720","1230336","1268121","1305105","1339988","1372019","1401808","1430963","1461818","1496005","1534043","1575230","1618487","1662205","1705173","1747038","1788057","1828296","1867965","1907223","1945759","1983309","2020142","2056668","2093009","2129935","2167033","2201977","2231568","2253893","2267889","2275215","2280048","2288171","2303826","2328438","2361061","",
