
"CountryName","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bolivia","BOL","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0400009155273","22.8199996948242","","22.1900005340576","21.0499992370605","","4.28999996185303","","","5.21000003814697","7.38000011444092","3.22000002861023","","","7.01000022888184","","","","","9.0560998916626","8.67590045928955","9.3745002746582","4.28359985351563","4.26910018920898","","4.22009992599487","2.49970006942749","5.38240003585815","3.05189990997314","5.81389999389648","4.91669988632202","6.68970012664795","",
"Brazil","BRA","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","6","4.17000007629395","6.21999979019165","6.59999990463257","5.3899998664856","","","9.89999961853027","9.77999973297119","","9.93840026855469","10.6128997802734","12.1192998886108","14.1501998901367","15.3854999542236","","14.8966999053955","14.8229999542236","15.3219003677368","14.3360004425049","15.4828996658325","13.9569997787476","13.1191997528076","12.0284996032715","14.0017004013062","","12.3027000427246","","","","","23.9290008544922","25.7406005859375","",
"Barbados","BRB","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","23.7600002288818","","","26.6200008392334","27.6100006103516","25","18.5900001525879","21.8199996948242","29.6900005340576","37.1399993896484","38.060001373291","35.3699989318848","33.3300018310547","24.6399993896484","25.8999996185303","20.3299999237061","17.9699993133545","","20.5699996948242","20.4599990844727","24.1100006103516","","","","","","24.4699993133545","26.7399997711182","","","27.7099990844727","29.6299991607666","31.8199996948242","27.8500003814697","","",
"Brunei Darussalam","BRN","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5076007843018","","","","",
"Bhutan","BTN","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.53000020980835","","","","10.6700000762939","7.1100001335144","6.76000022888184","7.30000019073486","9.15999984741211","8.57999992370605","8.22999954223633","","","",
"Botswana","BWA","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","28.3799991607666","","","","","","20.1599998474121","","","","","33.5299987792969","","","","","33.9099998474121","","","","","27.6800003051758","","","26.718900680542","29.5900001525879","","","","","","","","",
"Central African Republic","CAF","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","13.0362997055054","14.5212001800537","14.6400995254517","12.917799949646","13.3859996795654","13.7093000411987","20.653600692749","21.7852001190186","19.1012992858887","17.3398990631104","15.9983997344971","14.3418998718262","12.3999996185303","12.1820001602173","13.5361995697021","","19.733699798584","19.6893005371094","17.9015998840332","16.3362007141113","","17.1278991699219","16.5484008789063","15.3015003204346","13.8423004150391","","15.3893003463745","15.3445997238159","14.9685001373291","14.1103000640869","12.8495998382568","12.2658004760742","13.0322999954224","18.3483009338379","17.2702007293701","","16.0884990692139","15.1837997436523","14.9820995330811","15.0417995452881","14.8182001113892","13.2536001205444","",
"Central Europe and the Baltics","CEB","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.2471851243482","20.3922836100558","17.418371581932","18.2414524689956","23.1392993677542","27.1325354356385","27.7311639929316","","28.6364436758731","29.4845847829179","27.1216401022","23.0967408189316","18.0226494595823","15.8170414885794","21.9961747819295","24.41198389686","25.0627362778655","25.6124070592129","25.8244614799908","22.990347939631","20.3995200848866","17.4474794229616","14.7530676361896","",
"Switzerland","CHE","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.20000004768372","2.96300005912781","4.79899978637695","6.89300012588501","5.42600011825562","5.375","5.4931001663208","8.47609996795654","4.70660018920898","6.54500007629395","5.79780006408691","5.75239992141724","7.14499998092651","8.28670024871826","8.03610038757324","8.45839977264404","7.92259979248047","6.8951997756958","6.66680002212524","7.97840023040771","7.78660011291504","7.5145001411438","8.63070011138916","8.71599960327148","8.63519954681396","9.23149967193604","8.75899982452393","8.1496000289917","",
"Channel Islands","CHI","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","23.6100006103516","","","16.5300006866455","","12.539999961853","12.25","","11.539999961853","","10.3299999237061","","","","14.3000001907349","","22.0300006866455","","21.8640003204346","21.9519996643066","","20.2129993438721","18.7670001983643","","18.136999130249","19.9109992980957","","17.141300201416","","14.7812004089355","","14.8879995346069","","14.7051000595093","16.1037998199463","",
"China","CHN","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2170000076294","5.3717999458313","","","2.80220007896423","","",
"Cameroon","CMR","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.17539978027344","","","5.28000020980835","","","","5.81290006637573","","","","",
"Congo, Dem. Rep.","COD","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.31869983673096","","","","","","","11.2966003417969","","","","","","",
