,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
29,26,9,26,0.09953897558882646,82,0.44047619047619047,26,0.014667134024508708,56,0.09009009009009009,56,0.009685067328758037
30,27,9,54,0.09952392519811241,86,0.44047619047619047,55,0.014411627796337964,57,0.09009009009009009,52,0.009560403385288463
31,54,9,27,0.09851438551538702,4,0.43700787401574803,71,0.014236339060062594,60,0.09009009009009009,66,0.009527794424229446
32,82,9,86,0.09634990505480918,33,0.43700787401574803,17,0.013721912248053345,73,0.09009009009009009,47,0.009527110646047528
33,53,8,73,0.09364169816022111,76,0.43700787401574803,44,0.012702534361337767,4,0.08108108108108109,57,0.009351438998092326
34,56,8,4,0.09195245691569362,16,0.43529411764705883,47,0.011710164382272278,9,0.08108108108108109,49,0.009335768187804275
35,86,8,11,0.0905279712685406,36,0.43359375,4,0.010832326104182343,54,0.08108108108108109,20,0.009203679693097527
36,4,7,77,0.08974474548429032,73,0.43359375,94,0.010727605342333777,86,0.08108108108108109,23,0.009179224323912402
37,11,7,82,0.08679106970428688,71,0.43190661478599224,19,0.010339429436746334,11,0.07207207207207207,73,0.009079006382083848
38,31,7,53,0.08343241781333878,77,0.43190661478599224,54,0.009942794465249236,20,0.07207207207207207,16,0.009074888980668012
39,77,7,33,0.08163282726943726,11,0.43023255813953487,60,0.009119718025150051,82,0.07207207207207207,72,0.009045008631106143
40,44,6,76,0.08071707776587261,20,0.42857142857142855,27,0.00820143773417127,17,0.06306306306306306,44,0.009031759333496486
41,68,5,20,0.08026181211591236,44,0.4269230769230769,73,0.008046578989207692,26,0.06306306306306306,9,0.009021720839155421
42,74,5,9,0.07838184794604879,45,0.4269230769230769,50,0.007951452212399344,27,0.06306306306306306,60,0.00899241713243983
43,80,5,80,0.07686465844160982,53,0.4269230769230769,49,0.007910691322152275,28,0.06306306306306306,54,0.008938088332645257
44,20,4,36,0.0762670029345219,28,0.42528735632183906,105,0.007784165155974909,31,0.06306306306306306,86,0.008836237113390728
45,36,4,56,0.07616754278607395,50,0.42528735632183906,56,0.006908555356642623,32,0.06306306306306306,50,0.008557439988072322
46,46,4,44,0.07366818145838028,57,0.42528735632183906,9,0.00688236912411039,38,0.06306306306306306,26,0.008551621657288708
47,50,4,50,0.07056603050794477,84,0.42528735632183906,86,0.00686363526559208,44,0.06306306306306306,82,0.008516446063396656
48,69,4,68,0.07047650625968652,79,0.4188679245283019,32,0.006833273907434885,45,0.06306306306306306,32,0.008515780540205197
49,76,4,74,0.06923229698130474,80,0.41729323308270677,82,0.006672651276114256,50,0.06306306306306306,63,0.008501288808607758
50,88,4,69,0.0685277649294606,74,0.4157303370786517,18,0.005943625458132287,77,0.06306306306306306,105,0.00848173446796975
51,93,4,38,0.06828076074192982,69,0.4141791044776119,89,0.005717827066089324,80,0.06306306306306306,18,0.008472928485941299
52,12,3,75,0.06695567813323794,19,0.41263940520446096,97,0.0054746595975353595,12,0.05405405405405406,46,0.008442957910036575
53,28,3,28,0.06480889126402309,68,0.41263940520446096,16,0.0052603080054998645,46,0.05405405405405406,97,0.008442342941382578
54,33,3,84,0.06344810383953871,32,0.4095940959409594,101,0.00521832030840774,58,0.05405405405405406,11,0.008426124855594864
55,38,3,19,0.06285943134140995,78,0.4095940959409594,63,0.005106236205183325,68,0.05405405405405406,38,0.008395536691885646
56,45,3,78,0.06221813830946377,94,0.4095940959409594,69,0.0047650267834913156,69,0.05405405405405406,58,0.008395325766011643
57,78,3,79,0.061956017147032236,38,0.40808823529411764,38,0.004671131246715891,72,0.05405405405405406,89,0.008380629433587247
58,84,3,45,0.057114930514196,75,0.40808823529411764,76,0.004630020614008615,76,0.05405405405405406,12,0.008261984788166745
59,1,2,12,0.05310563612842491,56,0.4036363636363636,72,0.004388074487621397,78,0.05405405405405406,27,0.008247171774030464
60,17,2,34,0.05203317683560557,34,0.40217391304347827,58,0.004346257575200731,84,0.05405405405405406,80,0.008196683793347983
61,19,2,32,0.051970346997838306,9,0.39928057553956836,78,0.004292184386228273,88,0.05405405405405406,78,0.00819428575147718
62,58,2,88,0.049813192299626684,81,0.39928057553956836,46,0.0042007235894561176,94,0.05405405405405406,84,0.008175517129298825
